,city,state,lat,lon,boundingboxes
124,Whitefish,Montana,48.4108018,-114.334624,"['48.3727300', '48.4864040', '-114.4331060', '-114.3077070']"
125,South Plainfield,New Jersey,40.5792701,-74.4115401,"['40.5438380', '40.6009010', '-74.4410470', '-74.3861880']"
126,Lilburn,Georgia,33.8901036,-84.1429719,"['33.8650470', '33.9090420', '-84.1677140', '-84.1088130']"
127,Flowing Wells,Arizona,32.29579915,-111.02670106756077,"['32.2816041', '32.3099683', '-111.0410256', '-111.0176963']"
128,Bright,Indiana,39.2183885,-84.8560633,"['39.1465230', '39.2480090', '-84.8915280', '-84.8202645']"
129,Cleveland,Alabama,33.9909316,-86.5774905,"['33.9643947', '34.0278544', '-86.5965771', '-86.5407060']"
130,Glenn,Georgia,33.1542875,-85.2029992,"['33.1342875', '33.1742875', '-85.2229992', '-85.1829992']"
131,Rochester,New York,43.157285,-77.615214,"['43.1033600', '43.2677292', '-77.7015050', '-77.5325100']"
132,North Bergen,New Jersey,40.8042674,-74.012084,"['40.7573700', '40.8235690', '-74.0568815', '-73.9848673']"
133,Maggie Valley,North Carolina,35.5181575,-83.0976419,"['35.5032151', '35.5650215', '-83.1104039', '-83.0054156']"
134,Fuquay-Varina,North Carolina,35.5843849,-78.7998691,"['35.5442301', '35.6719052', '-78.8677669', '-78.6763684']"
135,Athol,Idaho,47.9479601,-116.707974,"['47.9332491', '47.9518460', '-116.7176200', '-116.6876300']"
136,Newmarket,New Hampshire,43.082931,-70.935974,"['43.0490365', '43.0902414', '-71.0133050', '-70.8754010']"
137,Okmulgee,Oklahoma,35.6677078,-95.9690122,"['35.3766908', '35.8570882', '-96.1927315', '-95.7125930']"
138,Milton Mills,New Hampshire,43.5011915,-70.9636749,"['43.4811915', '43.5211915', '-70.9836749', '-70.9436749']"
139,Willowbrook,Illinois,41.7697533,-87.9358931,"['41.7426855', '41.7832990', '-87.9643000', '-87.9232300']"
140,Mokena,Illinois,41.5261437,-87.8892189,"['41.4916898', '41.5555558', '-87.9280480', '-87.8118992']"
141,Kenmore,New York,42.961748,-78.870914,"['42.9585830', '42.9733030', '-78.8893060', '-78.8531150']"
142,Dalton Gardens,Idaho,47.7296276,-116.77019,"['47.7224579', '47.7481200', '-116.7867650', '-116.7488290']"
143,Palatine,New York,42.9493233,-74.5534138,"['42.8944460', '43.0031200', '-74.6416080', '-74.4735240']"
144,Marblehead,Massachusetts,42.500096,-70.8578253,"['42.4295159', '42.5287880', '-70.8990330', '-70.7536283']"
145,Cumberland Hill,Rhode Island,41.9600988,-71.4578372,"['41.9600488', '41.9601488', '-71.4578872', '-71.4577872']"
146,Albany,Illinois,41.7894748,-90.2192941,"['41.7795000', '41.7953060', '-90.2349480', '-90.2075050']"
147,Pine Grove,Pennsylvania,40.5484233,-76.3846781,"['40.5404110', '40.5672210', '-76.3997390', '-76.3772280']"
148,Maple Heights,Ohio,41.4154413,-81.5655597,"['41.3845530', '41.4247080', '-81.5848484', '-81.5269370']"
149,Marion,New York,43.143397,-77.189147,"['43.1237300', '43.1992970', '-77.2519570', '-77.1357870']"
150,Rich Square,North Carolina,36.2737186,-77.2845336,"['36.2594620', '36.2883950', '-77.3015680', '-77.2664100']"
151,Wahiawa,Hawaii,21.5010609,-158.0211735,"['21.4886976', '21.5124266', '-158.0518508', '-157.9861378']"
152,Wilson,North Carolina,35.7212689,-77.9155395,"['35.6716500', '35.8138570', '-78.0401440', '-77.8656110']"
153,Pine Lawn,Missouri,38.6958844,-90.2751132,"['38.6846590', '38.7047880', '-90.2847450', '-90.2651980']"
154,Taylorsville,Utah,40.6676347,-111.9388027,"['40.6298510', '40.6863290', '-111.9915465', '-111.9078280']"
155,Reading,Pennsylvania,40.335345,-75.9279495,"['40.2965020', '40.3712510', '-75.9606857', '-75.8905120']"
156,Blasdell,New York,42.797281,-78.823366,"['42.7847190', '42.8051280', '-78.8403140', '-78.8205670']"
157,Burlington,North Carolina,36.0956918,-79.4377991,"['36.0097098', '36.1277562', '-79.6214106', '-79.3719276']"
158,Marshallville,New Jersey,39.2965039,-74.7684977,"['39.2765039', '39.3165039', '-74.7884977', '-74.7484977']"
159,Reinholds,Pennsylvania,40.2667588,-76.1154997,"['40.2467588', '40.2867588', '-76.1354997', '-76.0954997']"
160,Winthrop,Massachusetts,42.3746525,-70.9825807,"['42.3543113', '42.4077028', '-71.0103601', '-70.8203261']"
161,Surfside,Florida,25.8784285,-80.1256007,"['25.8717260', '25.8872200', '-80.1379315', '-80.1152080']"
162,Halfway House,Pennsylvania,40.2850964,-75.6407408,"['40.2650964', '40.3050964', '-75.6607408', '-75.6207408']"
163,Palmerton,Pennsylvania,40.8014826,-75.6101868,"['40.7891940', '40.8135350', '-75.6577000', '-75.5771080']"
164,Mount Repose,Ohio,39.1904215,-84.22230897230654,"['39.1760770', '39.2056750', '-84.2401200', '-84.2027290']"
165,Stevenson,Washington,45.6941611,-121.88355,"['45.6806545', '45.7078426', '-121.9187200', '-121.8685162']"
166,Haverstraw,New York,41.1976502,-73.9640541,"['41.1753590', '41.2046080', '-73.9900870', '-73.9396290']"
167,South Hamilton,Massachusetts,42.6130398,-70.8723954,"['42.5930398', '42.6330398', '-70.8923954', '-70.8523954']"
168,Avila Beach,California,35.1799752,-120.731841,"['35.1599752', '35.1999752', '-120.7518410', '-120.7118410']"
169,Capac,Michigan,43.0125274,-82.9279881,"['42.9888610', '43.0234620', '-82.9386980', '-82.9085880']"
170,Rockford Bay,Idaho,47.5051822,-116.8785175,"['47.4851822', '47.5251822', '-116.8985175', '-116.8585175']"
171,Thurman,New York,43.533616,-73.916016,"['43.4467270', '43.5838380', '-74.1819701', '-73.8029820']"
172,Aynor,South Carolina,33.9998881,-79.1994874,"['33.9844950', '34.0186350', '-79.2294720', '-79.1896970']"
173,Scituate,Massachusetts,42.1924492,-70.7261966,"['42.1251449', '42.3045818', '-70.8388644', '-70.6246826']"
174,Webster,Texas,29.5351724,-95.1161564,"['29.5069730', '29.5547771', '-95.1462080', '-95.0936930']"
175,Roseville,Minnesota,45.0060767,-93.1566107,"['44.9917551', '45.0358970', '-93.2081166', '-93.1058790']"
176,Morris,Illinois,41.3574135,-88.4215234,"['41.3499180', '41.4086500', '-88.4901130', '-88.3799690']"
177,Pine,Arizona,34.3842741,-111.455567,"['34.3709739', '34.4187900', '-111.4714322', '-111.4409919']"
178,Browntown,Pennsylvania,41.3098025,-75.7874158,"['41.2898025', '41.3298025', '-75.8074158', '-75.7674158']"
179,Springdale,New Jersey,39.879943999999995,-74.97355372264056,"['39.8601760', '39.8996820', '-75.0001760', '-74.9297190']"
180,Alameda,California,37.6090291,-121.899142,"['37.4542627', '37.9066896', '-122.3738430', '-121.4690903']"
181,Talty,Texas,32.6831899,-96.3855459,"['32.6760907', '32.7117667', '-96.4262754', '-96.3785784']"
182,Pupukea,Hawaii,21.6632045,-158.0566643022185,"['21.6329150', '21.6948710', '-158.0769460', '-158.0183210']"
183,Youngsville,North Carolina,36.0247769,-78.4767034,"['36.0060550', '36.0428700', '-78.5092049', '-78.4405599']"
